,name,group,ID,hem,metric,stream,point,values
182,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.19,bcnu,R83A,l,uFA,19,2,0.379423
183,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.19,bcnu,R83A,l,uFA,19,3,0.435099
184,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.19,bcnu,R83A,l,uFA,19,4,0.56598
185,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.19,bcnu,R83A,l,uFA,19,5,0.703393
186,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.19,bcnu,R83A,l,uFA,19,6,0.742123
187,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.19,bcnu,R83A,l,uFA,19,7,0.751789
188,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.19,bcnu,R83A,l,uFA,19,8,0.746942
189,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.19,bcnu,R83A,l,uFA,19,9,0.748723
190,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.19,bcnu,R83A,l,uFA,19,10,0.760359
191,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.20,bcnu,R83A,l,uFA,20,1,0.32286
192,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.20,bcnu,R83A,l,uFA,20,2,0.357772
193,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.20,bcnu,R83A,l,uFA,20,3,0.278751
194,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.20,bcnu,R83A,l,uFA,20,4,0.544148
195,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.20,bcnu,R83A,l,uFA,20,5,0.666945
196,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.20,bcnu,R83A,l,uFA,20,6,0.746627
197,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.20,bcnu,R83A,l,uFA,20,7,0.763733
198,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.20,bcnu,R83A,l,uFA,20,8,0.746942
199,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.20,bcnu,R83A,l,uFA,20,9,0.748723
200,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.20,bcnu,R83A,l,uFA,20,10,0.760359
201,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.21,bcnu,R83A,l,uFA,21,1,0.311106
202,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.21,bcnu,R83A,l,uFA,21,2,0.380164
203,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.21,bcnu,R83A,l,uFA,21,3,0.340691
204,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.21,bcnu,R83A,l,uFA,21,4,0.530069
205,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.21,bcnu,R83A,l,uFA,21,5,0.59508
206,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.21,bcnu,R83A,l,uFA,21,6,0.746627
207,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.21,bcnu,R83A,l,uFA,21,7,0.763733
208,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.21,bcnu,R83A,l,uFA,21,8,0.757622
209,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.21,bcnu,R83A,l,uFA,21,9,0.75466
210,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.21,bcnu,R83A,l,uFA,21,10,0.75196
211,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.22,bcnu,R83A,l,uFA,22,1,0.401129
212,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.22,bcnu,R83A,l,uFA,22,2,0.357515
213,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.22,bcnu,R83A,l,uFA,22,3,0.314275
214,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.22,bcnu,R83A,l,uFA,22,4,0.59508
215,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.22,bcnu,R83A,l,uFA,22,5,0.731997
216,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.22,bcnu,R83A,l,uFA,22,6,0.758338
217,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.22,bcnu,R83A,l,uFA,22,7,0.7539
218,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.22,bcnu,R83A,l,uFA,22,8,0.747565
219,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.22,bcnu,R83A,l,uFA,22,9,0.74505
220,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.22,bcnu,R83A,l,uFA,22,10,0.783044
221,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.23,bcnu,R83A,l,uFA,23,1,0.361842
222,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.23,bcnu,R83A,l,uFA,23,2,0.357515
223,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.23,bcnu,R83A,l,uFA,23,3,0.314275
224,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.23,bcnu,R83A,l,uFA,23,4,0.498669
225,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.23,bcnu,R83A,l,uFA,23,5,0.645992
226,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.23,bcnu,R83A,l,uFA,23,6,0.72563
227,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.23,bcnu,R83A,l,uFA,23,7,0.729013
228,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.23,bcnu,R83A,l,uFA,23,8,0.747565
229,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.23,bcnu,R83A,l,uFA,23,9,0.74505
230,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.23,bcnu,R83A,l,uFA,23,10,0.766282
231,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.24,bcnu,R83A,l,uFA,24,1,0.361842
232,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.24,bcnu,R83A,l,uFA,24,2,0.33534
233,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.24,bcnu,R83A,l,uFA,24,3,0.495706
234,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.24,bcnu,R83A,l,uFA,24,4,0.541952
235,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.24,bcnu,R83A,l,uFA,24,5,0.72563
236,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.24,bcnu,R83A,l,uFA,24,6,0.729013
237,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.24,bcnu,R83A,l,uFA,24,7,0.731684
238,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.24,bcnu,R83A,l,uFA,24,8,0.756948
239,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.24,bcnu,R83A,l,uFA,24,9,0.766282
240,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.24,bcnu,R83A,l,uFA,24,10,0.794637
241,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.25,bcnu,R83A,l,uFA,25,1,0.460716
242,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.25,bcnu,R83A,l,uFA,25,2,0.665342
243,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.25,bcnu,R83A,l,uFA,25,3,0.541952
